ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-31,33505.68614060545,4713.909192219254,23669.656901216036,33505.68614060545,33505.68614060545,-19204.897510745843,-19204.897510745843,-19204.897510745843,-19204.897510745843,-19204.897510745843,-19204.897510745843,0.0,0.0,0.0,14300.78862985961
2015-02-28,33906.28983210661,-7083.762750670227,11878.295900250056,33906.28983210661,33906.28983210661,-31613.799056682878,-31613.799056682878,-31613.799056682878,-31613.799056682878,-31613.799056682878,-31613.799056682878,0.0,0.0,0.0,2292.490775423732
2015-03-31,34349.81534687106,43040.952606847284,61391.31033983941,34349.81534687106,34349.81534687106,17667.105677893385,17667.105677893385,17667.105677893385,17667.105677893385,17667.105677893385,17667.105677893385,0.0,0.0,0.0,52016.921024764444
2015-04-30,34779.03358696569,11569.226166528557,30142.867234807578,34779.03358696569,34779.03358696569,-13655.620452543499,-13655.620452543499,-13655.620452543499,-13655.620452543499,-13655.620452543499,-13655.620452543499,0.0,0.0,0.0,21123.413134422193
2015-05-31,35222.55910348309,13045.727196279026,32094.058394692907,35222.55910348309,35222.55910348309,-12496.061322161895,-12496.061322161895,-12496.061322161895,-12496.061322161895,-12496.061322161895,-12496.061322161895,0.0,0.0,0.0,22726.49778132119
2015-06-30,35651.77734559646,20802.874521343932,39251.61477744366,35651.77734559646,35651.77734559646,-5734.101809731106,-5734.101809731106,-5734.101809731106,-5734.101809731106,-5734.101809731106,-5734.101809731106,0.0,0.0,0.0,29917.675535865357
2015-07-31,36095.302862446966,17043.076305746952,34907.65381670668,36095.302862446966,36095.302862446966,-10254.212007651924,-10254.212007651924,-10254.212007651924,-10254.212007651924,-10254.212007651924,-10254.212007651924,0.0,0.0,0.0,25841.090854795042
2015-08-31,36538.828378489045,15652.795477797372,34202.86305195406,36538.828378489045,36538.828378489045,-11634.519897799748,-11634.519897799748,-11634.519897799748,-11634.519897799748,-11634.519897799748,-11634.519897799748,0.0,0.0,0.0,24904.308480689295
2015-09-30,36968.04661830873,60823.016357932174,79714.61547462385,36968.04661830873,36968.04661830873,33781.5062935208,33781.5062935208,33781.5062935208,33781.5062935208,33781.5062935208,33781.5062935208,0.0,0.0,0.0,70749.55291182952
2015-10-31,37411.57213278905,29258.313330885747,47560.67923638364,37411.57213278905,37411.57213278905,658.1194344716417,658.1194344716417,658.1194344716417,658.1194344716417,658.1194344716417,658.1194344716417,0.0,0.0,0.0,38069.69156726069
2015-11-30,37840.79037480007,71213.60925107653,90661.84955076019,37840.79037480007,37840.79037480007,43002.94621688791,43002.94621688791,43002.94621688791,43002.94621688791,43002.94621688791,43002.94621688791,0.0,0.0,0.0,80843.73659168798
